variant,context_id,preference_name,preference_kind,w_motion,w_stability,w_energy,selected_beta_name,shadow_score,best_second_margin,frozen_beta_name,changed_from_frozen,frozen_oracle_score,shadow_beta_frozen_score,frozen_score_sacrifice
baseline,rough_seed_15,wm000_ws060_we040,grid,0.0,0.6,0.4,lm000_ls040_le060,0.1675439926715078,0.0334392993544608,lm000_ls040_le060,0,0.1675439926715078,0.1675439926715078,0.0
baseline,rough_seed_15,wm000_ws040_we060,grid,0.0,0.4,0.6,lm000_ls080_le020,0.23630331196571208,0.015012677041549571,lm000_ls080_le020,0,0.23630331196571208,0.23630331196571208,0.0
baseline,rough_seed_15,wm000_ws020_we080,grid,0.0,0.2,0.8,lm000_ls080_le020,0.11815165598285604,0.0927006043028461,lm000_ls080_le020,0,0.11815165598285604,0.11815165598285604,0.0
baseline,rough_seed_15,wm000_ws000_we100,grid,0.0,0.0,1.0,lm000_ls080_le020,0.0,0.2610653253571277,lm000_ls080_le020,0,0.0,0.0,0.0
baseline,rough_seed_15,balanced,canonical,0.3333333333333333,0.3333333333333333,0.3333333333333333,lm060_ls040_le000,0.16401860528735004,0.0068616204234064615,lm060_ls040_le000,0,0.16401860528735004,0.16401860528735004,0.0
baseline,rough_seed_15,motion,canonical,0.7,0.15,0.15,lm040_ls060_le000,0.08084593725688764,0.00406380128866983,lm040_ls060_le000,0,0.08084593725688764,0.08084593725688764,0.0
baseline,rough_seed_15,stability,canonical,0.15,0.7,0.15,lm000_ls040_le060,0.15212206927972094,0.001290404406806528,lm000_ls040_le060,0,0.15212206927972094,0.15212206927972094,0.0
baseline,rough_seed_15,energy,canonical,0.15,0.15,0.7,lm000_ls080_le020,0.08887056472365981,0.09544683024338196,lm000_ls080_le020,0,0.08887056472365981,0.08887056472365981,0.0
baseline,rough_seed_0,wm100_ws000_we000,grid,1.0,0.0,0.0,lm080_ls020_le000,0.0,0.09024376691188865,lm080_ls020_le000,0,0.0,0.0,0.0
baseline,rough_seed_0,wm080_ws020_we000,grid,0.8,0.2,0.0,lm100_ls000_le000,0.1321155908798785,0.000545846890976226,lm100_ls000_le000,0,0.1321155908798785,0.1321155908798785,0.0
baseline,rough_seed_0,wm080_ws000_we020,grid,0.8,0.0,0.2,lm060_ls040_le000,0.07240453062202368,0.012553078257268188,lm060_ls040_le000,0,0.07240453062202368,0.07240453062202368,0.0
baseline,rough_seed_0,wm060_ws040_we000,grid,0.6,0.4,0.0,lm100_ls000_le000,0.26317972620432023,0.0012496466946972928,lm100_ls000_le000,0,0.26317972620432023,0.26317972620432023,0.0
baseline,rough_seed_0,wm060_ws020_we020,grid,0.6,0.2,0.2,lm100_ls000_le000,0.13190529976879115,0.0007869545660379451,lm100_ls000_le000,0,0.13190529976879115,0.13190529976879115,0.0
baseline,rough_seed_0,wm060_ws000_we040,grid,0.6,0.0,0.4,lm060_ls040_le000,0.0545652943321587,0.009152912327310199,lm060_ls040_le000,0,0.0545652943321587,0.0545652943321587,0.0
baseline,rough_seed_0,wm040_ws060_we000,grid,0.4,0.6,0.0,lm060_ls000_le040,0.2718203446830262,0.007731288562253247,lm060_ls000_le040,0,0.2718203446830262,0.2718203446830262,0.0
baseline,rough_seed_0,wm040_ws040_we020,grid,0.4,0.4,0.2,lm100_ls000_le000,0.26296943509323284,0.0014907543697590397,lm100_ls000_le000,0,0.26296943509323284,0.26296943509323284,0.0
baseline,rough_seed_0,wm040_ws020_we040,grid,0.4,0.2,0.4,lm100_ls000_le000,0.13169500865770378,0.001028062241099692,lm100_ls000_le000,0,0.13169500865770378,0.13169500865770378,0.0
baseline,rough_seed_0,wm040_ws000_we060,grid,0.4,0.0,0.6,lm100_ls000_le000,0.04247880443964593,0.021362275648796537,lm100_ls000_le000,0,0.04247880443964593,0.04247880443964593,0.0
baseline,rough_seed_0,wm020_ws080_we000,grid,0.2,0.8,0.0,lm060_ls000_le040,0.1364945676812423,0.0038299630787715644,lm060_ls000_le040,0,0.1364945676812423,0.1364945676812423,0.0
baseline,rough_seed_0,wm020_ws060_we020,grid,0.2,0.6,0.2,lm000_ls060_le040,0.14786028400704418,0.049573641712590516,lm000_ls060_le040,0,0.14786028400704418,0.14786028400704418,0.0
baseline,rough_seed_0,wm020_ws040_we040,grid,0.2,0.4,0.4,lm000_ls040_le060,0.2039002745098202,0.0588588694723253,lm000_ls040_le060,0,0.2039002745098202,0.2039002745098202,0.0
baseline,rough_seed_0,wm020_ws020_we060,grid,0.2,0.2,0.6,lm100_ls000_le000,0.13148471754661642,0.0012691699161614112,lm100_ls000_le000,0,0.13148471754661642,0.13148471754661642,0.0
baseline,rough_seed_0,wm020_ws000_we080,grid,0.2,0.0,0.8,lm100_ls000_le000,0.021239402219822966,0.06358420368386968,lm100_ls000_le000,0,0.021239402219822966,0.021239402219822966,0.0
baseline,rough_seed_0,wm000_ws100_we000,grid,0.0,1.0,0.0,lm000_ls040_le060,0.0,0.030821851311506006,lm000_ls040_le060,0,0.0,0.0,0.0
baseline,rough_seed_0,wm000_ws080_we020,grid,0.0,0.8,0.2,lm000_ls040_le060,0.09596386274592054,0.04468257196747301,lm000_ls040_le060,0,0.09596386274592054,0.09596386274592054,0.0
