descriptor,variant,test_context,nearest_context,preference_name,transferred_beta,shadow_oracle_beta,exact,shadow_oracle_score,transferred_score,score_excess
v1,baseline,rough_seed_5,rough_seed_17,stability,lm100_ls000_le000,lm020_ls040_le040,0,0.14056170513887578,0.49798717640209045,0.35742547126321467
v1,baseline,rough_seed_5,rough_seed_17,energy,lm020_ls060_le020,lm060_ls020_le020,0,0.09207297243602183,0.10563671850541434,0.013563746069392507
v1,baseline,rough_seed_11,rough_seed_4,wm100_ws000_we000,lm080_ls020_le000,lm100_ls000_le000,0,0.0,0.1055186360505593,0.1055186360505593
v1,baseline,rough_seed_11,rough_seed_4,wm080_ws020_we000,lm020_ls080_le000,lm080_ls020_le000,0,0.19936358426270173,0.7283839396067534,0.5290203553440517
v1,baseline,rough_seed_11,rough_seed_4,wm080_ws000_we020,lm020_ls080_le000,lm100_ls000_le000,0,0.19931779513940673,0.7289988036554621,0.5296810085160554
v1,baseline,rough_seed_11,rough_seed_4,wm060_ws040_we000,lm020_ls080_le000,lm080_ls020_le000,0,0.3976824295546058,0.546287954705065,0.14860552515045916
v1,baseline,rough_seed_11,rough_seed_4,wm060_ws020_we020,lm020_ls080_le000,lm100_ls000_le000,0,0.20397344351623176,0.5469028187537736,0.3429293752375418
v1,baseline,rough_seed_11,rough_seed_4,wm060_ws000_we040,lm020_ls080_le000,lm100_ls000_le000,0,0.39863559027881346,0.5475176828024823,0.1488820925236688
v1,baseline,rough_seed_11,rough_seed_4,wm040_ws060_we000,lm020_ls080_le000,lm020_ls080_le000,1,0.3641919698033767,0.3641919698033767,0.0
v1,baseline,rough_seed_11,rough_seed_4,wm040_ws040_we020,lm020_ls080_le000,lm020_ls080_le000,1,0.36480683385208534,0.36480683385208534,0.0
v1,baseline,rough_seed_11,rough_seed_4,wm040_ws020_we040,lm020_ls080_le000,lm020_ls080_le000,1,0.36542169790079404,0.36542169790079404,0.0
v1,baseline,rough_seed_11,rough_seed_4,wm040_ws000_we060,lm060_ls040_le000,lm020_ls080_le000,0,0.36603656194950274,0.655530479426856,0.2894939174773533
v1,baseline,rough_seed_11,rough_seed_4,wm020_ws080_we000,lm000_ls100_le000,lm020_ls080_le000,0,0.18209598490168835,0.20211183563441315,0.0200158507327248
v1,baseline,rough_seed_11,rough_seed_4,wm020_ws060_we020,lm000_ls100_le000,lm020_ls080_le000,0,0.18271084895039702,0.20208387672580985,0.019373027775412832
v1,baseline,rough_seed_11,rough_seed_4,wm020_ws040_we040,lm000_ls100_le000,lm020_ls080_le000,0,0.1833257129991057,0.20205591781720658,0.018730204818100893
v1,baseline,rough_seed_11,rough_seed_4,wm020_ws020_we060,lm020_ls080_le000,lm020_ls080_le000,1,0.1881067373023103,0.1881067373023103,0.0
v1,baseline,rough_seed_11,rough_seed_4,wm020_ws000_we080,lm060_ls040_le000,lm000_ls100_le000,0,0.202,0.8730664906016244,0.6710664906016244
v1,baseline,rough_seed_11,rough_seed_4,wm000_ws100_we000,lm000_ls100_le000,lm020_ls080_le000,0,0.0,0.01411924884465801,0.01411924884465801
v1,baseline,rough_seed_11,rough_seed_4,wm000_ws080_we020,lm000_ls100_le000,lm000_ls100_le000,1,0.011295399075726409,0.011295399075726409,0.0
v1,baseline,rough_seed_11,rough_seed_4,wm000_ws060_we040,lm000_ls100_le000,lm000_ls100_le000,1,0.008471549306794807,0.008471549306794807,0.0
v1,baseline,rough_seed_11,rough_seed_4,wm000_ws040_we060,lm000_ls100_le000,lm000_ls100_le000,1,0.0056476995378632044,0.0056476995378632044,0.0
v1,baseline,rough_seed_11,rough_seed_4,wm000_ws020_we080,lm000_ls100_le000,lm000_ls100_le000,1,0.0028238497689316022,0.0028238497689316022,0.0
v1,baseline,rough_seed_11,rough_seed_4,wm000_ws000_we100,lm000_ls100_le000,lm000_ls100_le000,1,0.0,0.0,0.0
v1,baseline,rough_seed_11,rough_seed_4,balanced,lm020_ls080_le000,lm020_ls080_le000,1,0.30451808158399496,0.30451808158399496,0.0
v1,baseline,rough_seed_11,rough_seed_4,motion,lm020_ls080_le000,lm100_ls000_le000,0,0.1529800826371738,0.6377970951924405,0.48481701255526677
v1,baseline,rough_seed_11,rough_seed_4,stability,lm000_ls100_le000,lm020_ls080_le000,0,0.13703313671279774,0.15159785618011148,0.014564719467313747
v1,baseline,rough_seed_11,rough_seed_4,energy,lm020_ls080_le000,lm000_ls100_le000,0,0.15152096918145247,0.21870663912620325,0.06718566994475078
v1,baseline,rough_seed_4,rough_seed_12,wm100_ws000_we000,lm100_ls000_le000,lm080_ls020_le000,0,0.0,4.754650046730866,4.754650046730866
v1,baseline,rough_seed_4,rough_seed_12,wm080_ws020_we000,lm100_ls000_le000,lm020_ls080_le000,0,0.10360034889211242,3.805734311330335,3.702133962438223
v1,baseline,rough_seed_4,rough_seed_12,wm080_ws000_we020,lm100_ls000_le000,lm020_ls080_le000,0,0.048722039426145156,3.8053961673795125,3.7566741279533673
v1,baseline,rough_seed_4,rough_seed_12,wm060_ws040_we000,lm100_ls000_le000,lm020_ls080_le000,0,0.20660147188439923,2.8568185759298035,2.6502171040454043
v1,baseline,rough_seed_4,rough_seed_12,wm060_ws020_we020,lm100_ls000_le000,lm020_ls080_le000,0,0.10378509043238345,2.856480431978981,2.7526953415465973
v1,baseline,rough_seed_4,rough_seed_12,wm060_ws000_we040,lm100_ls000_le000,lm020_ls080_le000,0,0.06188605302759792,2.8561422880281584,2.7942562350005606
