terrain,mission,held_context_id,held_signature_count,shared_log_predictive,uniform_log_predictive,delta_log_predictive
low_friction,efficient,low_friction_train:low_friction:27206,3,-0.3572954822507792,-0.8991250091960922,0.5418295269453131
low_friction,efficient,low_friction_train:low_friction:27207,2,-0.032458329152845966,-0.5436303055754461,0.5111719764226001
low_friction,efficient,low_friction_train:low_friction:27208,5,-0.19332859739358135,-0.8531578357057846,0.6598292383122033
low_friction,efficient,low_friction_train:low_friction:27209,5,-0.09077030798552829,-0.6905916977353463,0.599821389749818
low_friction,efficient,low_friction_train:low_friction:27210,5,-0.06502927862194988,-0.6743777441764971,0.6093484655545472
low_friction,efficient,low_friction_train:low_friction:27211,6,-0.07746215559765283,-0.5816976354687827,0.5042354798711299
low_friction,efficient,low_friction_train:low_friction:27212,3,-0.20294513177384932,-0.5878119070447282,0.38486677527087887
low_friction,efficient,low_friction_train:low_friction:27213,4,-0.2322286579407673,-0.8868333038697824,0.6546046459290151
low_friction,efficient,low_friction_train:low_friction:27214,4,-0.04823169217352241,-0.5568585075221535,0.5086268153486311
low_friction,efficient,low_friction_train:low_friction:27215,4,-0.09300151178019211,-0.7452570867895822,0.6522555750093901
low_friction,efficient,low_friction_train:low_friction:27216,4,-0.27252103292080787,-0.972821942223951,0.7003009093031431
low_friction,efficient,low_friction_train:low_friction:27217,3,-0.18628316054795846,-0.944290281928082,0.7580071213801235
low_friction,fast,low_friction_train:low_friction:27200,6,-0.8828918303224847,-0.8569087957022851,-0.025983034620199685
low_friction,fast,low_friction_train:low_friction:27201,5,-0.3443162609551614,-0.8966675311561947,0.5523512702010334
low_friction,fast,low_friction_train:low_friction:27202,5,-0.5080483558172674,-1.2068343538409267,0.6987859980236594
low_friction,fast,low_friction_train:low_friction:27203,5,-0.2908949296541907,-0.9272919025586328,0.6363969729044421
low_friction,fast,low_friction_train:low_friction:27204,6,-0.36411887788905045,-1.0873903373867155,0.723271459497665
low_friction,fast,low_friction_train:low_friction:27205,3,-1.3152028370406816,-1.317239260263461,0.0020364232227794155
low_friction,fast,low_friction_train:low_friction:27206,6,-0.47820861261164643,-1.0952767464927526,0.6170681338811062
