decision_index,context_id,group,terrain,seed,mission,primary_metric,selected_beta_name,feasible_choice_count,preference_pair_count,support_class,max_margin_rho,beta_hat_motion,beta_hat_stability,beta_hat_energy,min_pair_margin_at_beta_hat,max_pair_margin_at_beta_hat,source_beta_consistent,source_beta_min_margin
212,flat_train:flat:27106,flat_train,flat,27106,efficient,cost_energy,balanced,2,1,strict,0.007289258868394266,0.0,0.0,1.0,0.007289258868394266,0.007289258868394266,1,0.0009121891913357076
213,flat_train:flat:27106,flat_train,flat,27106,efficient,cost_energy,balanced,2,1,strict,0.007289258868394266,0.0,0.0,1.0,0.007289258868394266,0.007289258868394266,1,0.0009121891913357076
214,flat_train:flat:27106,flat_train,flat,27106,efficient,cost_energy,balanced,2,1,strict,0.007289258868394266,0.0,0.0,1.0,0.007289258868394266,0.007289258868394266,1,0.0009121891913357076
216,flat_train:flat:27106,flat_train,flat,27106,efficient,cost_energy,balanced,2,1,strict,0.007289258868394266,0.0,0.0,1.0,0.007289258868394266,0.007289258868394266,1,0.0009121891913357076
217,flat_train:flat:27106,flat_train,flat,27106,efficient,cost_energy,balanced,2,1,strict,0.007289258868394266,0.0,0.0,1.0,0.007289258868394266,0.007289258868394266,1,0.0009121891913357076
218,flat_train:flat:27106,flat_train,flat,27106,efficient,cost_energy,energy,3,2,strict,0.00735966357239537,0.0,0.0,1.0,0.00735966357239537,0.014648922440789636,1,0.004608633789956721
220,flat_train:flat:27106,flat_train,flat,27106,efficient,cost_energy,balanced,2,1,strict,0.007289258868394266,0.0,0.0,1.0,0.007289258868394266,0.007289258868394266,1,0.0009121891913357076
221,flat_train:flat:27106,flat_train,flat,27106,efficient,cost_energy,stability,3,2,strict,0.008017440401964726,0.0,0.0,1.0,0.008017440401964726,0.015306699270358992,1,0.0003393383359718751
222,flat_train:flat:27106,flat_train,flat,27106,efficient,cost_energy,stability,4,3,strict,0.0006577768295693565,0.0,-0.0,1.0,0.0006577768295693565,0.015306699270358992,0,-0.00016407113545878306
225,flat_train:flat:27107,flat_train,flat,27107,fast,decision_time_s,motion,2,1,strict,0.005525954542432404,1.0,-0.0,0.0,0.005525954542432404,0.005525954542432404,1,0.003622671020016577
228,flat_train:flat:27107,flat_train,flat,27107,fast,decision_time_s,balanced,2,1,strict,0.005401998395499902,1.0,-0.0,0.0,0.005401998395499902,0.005401998395499902,0,-0.0020820780977614563
229,flat_train:flat:27107,flat_train,flat,27107,fast,decision_time_s,motion,3,2,strict,0.005525954542432404,1.0,-0.0,0.0,0.005525954542432404,0.010927952937932306,1,0.003622671020016577
231,flat_train:flat:27107,flat_train,flat,27107,fast,decision_time_s,stability,2,1,strict,0.006308471143659844,0.0,-0.0,1.0,0.006308471143659844,0.006308471143659844,1,0.0006705489057989582
232,flat_train:flat:27107,flat_train,flat,27107,fast,decision_time_s,balanced,3,2,strict,0.003180168688533269,1.0,-0.0,0.0,0.003180168688533269,0.005401998395499902,0,-0.0020820780977614563
233,flat_train:flat:27107,flat_train,flat,27107,fast,decision_time_s,motion,4,3,strict,0.005525954542432404,1.0,-0.0,0.0,0.005525954542432404,0.010927952937932306,1,0.003622671020016577
236,flat_train:flat:27107,flat_train,flat,27107,stable,cost_stability,motion,2,1,strict,0.005525954542432404,1.0,-0.0,0.0,0.005525954542432404,0.005525954542432404,1,0.003622671020016577
239,flat_train:flat:27107,flat_train,flat,27107,stable,cost_stability,balanced,2,1,strict,0.005401998395499902,1.0,-0.0,0.0,0.005401998395499902,0.005401998395499902,0,-0.0020820780977614563
