representation,held_context,context_dim,model_input_dim,train_samples,ensemble_size,final_standardized_mse_mean,train_mae_J_motion,train_mae_J_stability,train_mae_J_energy,held_mae_J_motion,held_mae_J_stability,held_mae_J_energy,rho_J_motion,rho_J_stability,rho_J_energy,rho_Q,oracle_beta,selected_beta,baseline_beta,true_rank,exact,top3,top5,Q_excess,baseline_Q_excess,beats_baseline
semantic_plus_prop_probe,rough_seed_5,87,90,672,3,0.003277157200500369,0.0045621506693479435,0.0011746847071397277,0.37623633591172956,0.03585342854000405,0.05708279657198941,7.4070788602869975,0.9064935064935065,0.187012987012987,0.12987012987012986,0.0,lm060_ls020_le020,lm100_ls000_le000,lm080_ls020_le000,5,0,0,1,0.034794014048878996,0.04604145419202896,1
semantic_plus_prop_probe,rough_seed_11,87,90,672,3,0.0031785033643245697,0.004649400927098439,0.0011624783923102609,0.3655093088468003,0.14167022852208758,0.14537389251358265,8.769302910109609,0.9818181818181818,-0.15064935064935067,0.8636363636363636,-0.4714285714285714,lm020_ls080_le000,lm000_ls060_le040,lm080_ls020_le000,14,0,0,0,1.053533096790688,0.03577286759580989,0
semantic_plus_prop_probe,rough_seed_4,87,90,672,3,0.00300405640155077,0.00416207396544062,0.0011404029408522223,0.35845593194227227,0.008728170646936883,0.04369666177061054,1.0699345443491124,0.9623376623376624,0.2714285714285714,0.9831168831168832,0.9701298701298702,lm020_ls080_le000,lm040_ls060_le000,lm080_ls020_le000,5,0,0,1,0.7064237608024339,0.167424333212578,0
semantic_plus_prop_probe,rough_seed_25,87,90,672,3,0.0032836673005173602,0.004475059643011198,0.0011079489296320463,0.37349137885598294,0.06267411613689862,0.0946280590615292,13.479519385664013,0.9857142857142858,-0.15714285714285717,0.2155844155844156,0.14935064935064934,lm040_ls040_le020,lm060_ls020_le020,lm080_ls020_le000,2,0,1,1,0.04243296253805419,0.2333729512036904,1
semantic_plus_prop_probe,rough_seed_12,87,90,672,3,0.003347002745916446,0.004821850445934899,0.0011649672295177417,0.3721871349452377,0.24160987136752482,0.11776053822520902,11.573411750947107,0.9545454545454546,0.638961038961039,-0.24805194805194808,0.6376623376623376,lm100_ls000_le000,lm040_ls060_le000,lm080_ls020_le000,15,0,0,0,0.406289635015489,0.27336439191352324,0
semantic_plus_prop_probe,rough_seed_6,87,90,672,3,0.0032177589212854705,0.004416283051845949,0.001192008652102752,0.36007041098563103,0.10925571772050556,0.030438509923075945,3.26651530545731,0.961038961038961,-0.39350649350649347,-0.6246753246753247,0.3974025974025974,lm000_ls080_le020,lm020_ls040_le040,lm080_ls020_le000,15,0,0,0,0.19684570760124256,0.19646303752110775,0
semantic_plus_prop_probe,rough_seed_29,87,90,672,3,0.0032351791548232236,0.004617570759217073,0.0011109577982108573,0.356709329612496,0.1738901272027665,0.17230853146246025,17.370656715919466,0.9077922077922078,-0.46753246753246747,-0.7272727272727273,-0.5441558441558442,lm060_ls040_le000,lm020_ls000_le080,lm080_ls020_le000,19,0,0,0,0.9541915975175509,0.01807345113361848,0
semantic_plus_prop_probe,rough_seed_18,87,90,672,3,0.003341410464296738,0.004161956997844627,0.0010902300533871488,0.36212324772307736,0.23308250957711502,0.1508441150325727,6.781446692840632,0.9233766233766234,-0.6623376623376622,0.08571428571428572,-0.374025974025974,lm000_ls100_le000,lm020_ls020_le060,lm080_ls020_le000,15,0,0,0,9.540166325123312,1.6530904404215563,0
semantic_plus_prop_probe,rough_seed_10,87,90,672,3,0.003090974409133196,0.004365013091227947,0.0010940893173640508,0.35367987596369777,0.01017068807207093,0.08995086919273497,8.605855620463055,0.922077922077922,-0.34545454545454546,-0.6428571428571428,0.5701298701298702,lm060_ls020_le020,lm020_ls040_le040,lm080_ls020_le000,3,0,1,1,0.024345652595089806,0.04660870274838702,1
semantic_plus_prop_probe,rough_seed_8,87,90,672,3,0.0030924951812873283,0.004412205206695751,0.0011243971642255597,0.35838542794556294,0.009524271632209754,0.028695608114586126,2.037129243481039,0.9662337662337662,-0.05454545454545454,-0.8025974025974025,0.22207792207792207,lm080_ls020_le000,lm000_ls080_le020,lm080_ls020_le000,11,0,0,0,0.7668658057023279,0.0,0
semantic_plus_prop_probe,rough_seed_22,87,90,672,3,0.0034863105975091457,0.004880775218982479,0.0011796724058246925,0.38338433978081404,0.06580562919321793,0.0047158023287840285,1.3929301039274595,0.9974025974025975,0.774025974025974,0.2545454545454545,0.2025974025974026,lm040_ls040_le020,lm020_ls040_le040,lm080_ls020_le000,17,0,0,0,0.4082617927228184,0.14102356059836776,0
semantic_plus_prop_probe,rough_seed_20,87,90,672,3,0.0031054485589265823,0.004294760340553713,0.0011436404835734164,0.3619869031873367,0.09107604421640944,0.06255930728584629,2.521338509869034,0.9701298701298702,0.8233766233766234,0.5935064935064935,0.05714285714285714,lm000_ls060_le040,lm020_ls000_le080,lm080_ls020_le000,20,0,0,0,0.3112900604357462,0.14667944598463062,0
semantic_plus_prop_probe,rough_seed_28,87,90,672,3,0.003317636592934529,0.004636412538719402,0.001166525041878984,0.3714917443033273,0.07259401732556188,0.020866408333032792,8.403100354483156,0.9493506493506494,0.27792207792207796,0.06753246753246753,0.6311688311688312,lm000_ls100_le000,lm080_ls000_le020,lm080_ls020_le000,12,0,0,0,1.0895996770676017,0.2066409730589126,0
semantic_plus_prop_probe,rough_seed_17,87,90,672,3,0.003312649748598536,0.004530954192304015,0.0011724435651749691,0.36673568560587944,0.03924149788096902,0.09422735722321435,11.299396642867515,0.9870129870129869,-0.24155844155844156,0.8974025974025974,0.4805194805194805,lm100_ls000_le000,lm080_ls000_le020,lm080_ls020_le000,2,0,1,1,0.13735028559898954,0.19233300719603325,1
