decision_index,pair_index,context_id,group,terrain,seed,mission,primary_metric,constraint_1,constraint_1_budget,constraint_2,constraint_2_budget,selected_beta_name,alternative_beta_name,delta_cost_motion,delta_cost_stability,delta_cost_energy,feasible_choice_count,decision_weight,pair_weight
84,0,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,6.968000000000001,cost_stability,0.011459994923857209,balanced,motion,-0.004773720675136928,-0.00018181672607294093,0.006751833998245083,2,0.1111111111111111,0.1111111111111111
85,0,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,6.968000000000001,cost_stability,0.011477390419960655,balanced,motion,-0.004773720675136928,-0.00018181672607294093,0.006751833998245083,2,0.1111111111111111,0.1111111111111111
87,0,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,7.142,cost_stability,0.011385505444421061,balanced,motion,-0.004773720675136928,-0.00018181672607294093,0.006751833998245083,2,0.1111111111111111,0.1111111111111111
88,0,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,7.142,cost_stability,0.011459994923857209,balanced,motion,-0.004773720675136928,-0.00018181672607294093,0.006751833998245083,2,0.1111111111111111,0.1111111111111111
89,0,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,7.142,cost_stability,0.011477390419960655,energy,balanced,-0.003208560883512873,-9.188497553959396e-05,0.004609616660744442,3,0.1111111111111111,0.05555555555555555
89,1,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,7.142,cost_stability,0.011477390419960655,energy,motion,-0.0079822815586498,-0.0002737017016125349,0.011361450658989525,3,0.1111111111111111,0.05555555555555555
91,0,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,7.153999999999999,cost_stability,0.011385505444421061,balanced,motion,-0.004773720675136928,-0.00018181672607294093,0.006751833998245083,2,0.1111111111111111,0.1111111111111111
92,0,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,7.153999999999999,cost_stability,0.011459994923857209,stability,balanced,-0.005385834171766496,-7.448947943614753e-05,0.008195005507465658,3,0.1111111111111111,0.05555555555555555
92,1,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,7.153999999999999,cost_stability,0.011459994923857209,stability,motion,-0.010159554846903424,-0.00025630620550908846,0.01494683950571074,3,0.1111111111111111,0.05555555555555555
93,0,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,7.153999999999999,cost_stability,0.011477390419960655,stability,balanced,-0.005385834171766496,-7.448947943614753e-05,0.008195005507465658,4,0.1111111111111111,0.037037037037037035
93,1,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,7.153999999999999,cost_stability,0.011477390419960655,stability,motion,-0.010159554846903424,-0.00025630620550908846,0.01494683950571074,4,0.1111111111111111,0.037037037037037035
93,2,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,7.153999999999999,cost_stability,0.011477390419960655,stability,energy,-0.0021772732882536228,1.739549610344643e-05,0.003585388846721216,4,0.1111111111111111,0.037037037037037035
96,0,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,cost_stability,0.011291397168657449,cost_energy,0.5446378660009256,motion,balanced,0.005248853766773615,0.00013209558519437607,-0.005248425678362145,2,0.16666666666666666,0.16666666666666666
98,0,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,cost_stability,0.011470684987346573,cost_energy,0.5393894403225634,balanced,energy,0.0031021481926480077,0.00017928781868912363,-0.004525447398486371,2,0.16666666666666666,0.16666666666666666
99,0,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,cost_stability,0.011470684987346573,cost_energy,0.5446378660009256,motion,balanced,0.005248853766773615,0.00013209558519437607,-0.005248425678362145,3,0.16666666666666666,0.08333333333333333
99,1,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,cost_stability,0.011470684987346573,cost_energy,0.5446378660009256,motion,energy,0.008351001959421622,0.0003113834038834997,-0.009773873076848516,3,0.16666666666666666,0.08333333333333333
101,0,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,cost_stability,0.01151046388330626,cost_energy,0.534863992924077,energy,stability,0.0019501894379919116,3.977889595968738e-05,-0.009388423763408649,2,0.16666666666666666,0.16666666666666666
102,0,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,cost_stability,0.01151046388330626,cost_energy,0.5393894403225634,balanced,stability,0.005052337630639919,0.00021906671464881101,-0.01391387116189502,3,0.16666666666666666,0.08333333333333333
102,1,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,cost_stability,0.01151046388330626,cost_energy,0.5393894403225634,balanced,energy,0.0031021481926480077,0.00017928781868912363,-0.004525447398486371,3,0.16666666666666666,0.08333333333333333
103,0,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,cost_stability,0.01151046388330626,cost_energy,0.5446378660009256,motion,balanced,0.005248853766773615,0.00013209558519437607,-0.005248425678362145,4,0.16666666666666666,0.05555555555555555
103,1,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,cost_stability,0.01151046388330626,cost_energy,0.5446378660009256,motion,stability,0.010301191397413534,0.0003511622998431871,-0.019162296840257165,4,0.16666666666666666,0.05555555555555555
103,2,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,cost_stability,0.01151046388330626,cost_energy,0.5446378660009256,motion,energy,0.008351001959421622,0.0003113834038834997,-0.009773873076848516,4,0.16666666666666666,0.05555555555555555
106,0,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,decision_time_s,6.951999999999999,cost_energy,0.5446378660009256,motion,balanced,0.005248853766773615,0.00013209558519437607,-0.005248425678362145,2,0.16666666666666666,0.16666666666666666
108,0,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,decision_time_s,7.152000000000001,cost_energy,0.5393894403225634,balanced,energy,0.0031021481926480077,0.00017928781868912363,-0.004525447398486371,2,0.16666666666666666,0.16666666666666666
109,0,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,decision_time_s,7.152000000000001,cost_energy,0.5446378660009256,motion,balanced,0.005248853766773615,0.00013209558519437607,-0.005248425678362145,3,0.16666666666666666,0.08333333333333333
109,1,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,decision_time_s,7.152000000000001,cost_energy,0.5446378660009256,motion,energy,0.008351001959421622,0.0003113834038834997,-0.009773873076848516,3,0.16666666666666666,0.08333333333333333
111,0,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,decision_time_s,7.192,cost_energy,0.534863992924077,energy,stability,0.0019501894379919116,3.977889595968738e-05,-0.009388423763408649,2,0.16666666666666666,0.16666666666666666
112,0,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,decision_time_s,7.192,cost_energy,0.5393894403225634,balanced,stability,0.005052337630639919,0.00021906671464881101,-0.01391387116189502,3,0.16666666666666666,0.08333333333333333
112,1,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,decision_time_s,7.192,cost_energy,0.5393894403225634,balanced,energy,0.0031021481926480077,0.00017928781868912363,-0.004525447398486371,3,0.16666666666666666,0.08333333333333333
113,0,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,decision_time_s,7.192,cost_energy,0.5446378660009256,motion,balanced,0.005248853766773615,0.00013209558519437607,-0.005248425678362145,4,0.16666666666666666,0.05555555555555555
113,1,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,decision_time_s,7.192,cost_energy,0.5446378660009256,motion,stability,0.010301191397413534,0.0003511622998431871,-0.019162296840257165,4,0.16666666666666666,0.05555555555555555
113,2,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,decision_time_s,7.192,cost_energy,0.5446378660009256,motion,energy,0.008351001959421622,0.0003113834038834997,-0.009773873076848516,4,0.16666666666666666,0.05555555555555555
119,0,flat_train:flat:27103,flat_train,flat,27103,efficient,cost_energy,decision_time_s,6.951999999999999,cost_stability,0.011291397168657449,balanced,motion,-0.005248853766773615,-0.00013209558519437607,0.005248425678362145,2,0.1111111111111111,0.1111111111111111
120,0,flat_train:flat:27103,flat_train,flat,27103,efficient,cost_energy,decision_time_s,6.951999999999999,cost_stability,0.011470684987346573,balanced,motion,-0.005248853766773615,-0.00013209558519437607,0.005248425678362145,2,0.1111111111111111,0.1111111111111111
121,0,flat_train:flat:27103,flat_train,flat,27103,efficient,cost_energy,decision_time_s,6.951999999999999,cost_stability,0.01151046388330626,balanced,motion,-0.005248853766773615,-0.00013209558519437607,0.005248425678362145,2,0.1111111111111111,0.1111111111111111
123,0,flat_train:flat:27103,flat_train,flat,27103,efficient,cost_energy,decision_time_s,7.152000000000001,cost_stability,0.011291397168657449,balanced,motion,-0.005248853766773615,-0.00013209558519437607,0.005248425678362145,2,0.1111111111111111,0.1111111111111111
124,0,flat_train:flat:27103,flat_train,flat,27103,efficient,cost_energy,decision_time_s,7.152000000000001,cost_stability,0.011470684987346573,energy,balanced,-0.0031021481926480077,-0.00017928781868912363,0.004525447398486371,3,0.1111111111111111,0.05555555555555555
124,1,flat_train:flat:27103,flat_train,flat,27103,efficient,cost_energy,decision_time_s,7.152000000000001,cost_stability,0.011470684987346573,energy,motion,-0.008351001959421622,-0.0003113834038834997,0.009773873076848516,3,0.1111111111111111,0.05555555555555555
125,0,flat_train:flat:27103,flat_train,flat,27103,efficient,cost_energy,decision_time_s,7.152000000000001,cost_stability,0.01151046388330626,energy,balanced,-0.0031021481926480077,-0.00017928781868912363,0.004525447398486371,3,0.1111111111111111,0.05555555555555555
125,1,flat_train:flat:27103,flat_train,flat,27103,efficient,cost_energy,decision_time_s,7.152000000000001,cost_stability,0.01151046388330626,energy,motion,-0.008351001959421622,-0.0003113834038834997,0.009773873076848516,3,0.1111111111111111,0.05555555555555555
127,0,flat_train:flat:27103,flat_train,flat,27103,efficient,cost_energy,decision_time_s,7.192,cost_stability,0.011291397168657449,balanced,motion,-0.005248853766773615,-0.00013209558519437607,0.005248425678362145,2,0.1111111111111111,0.1111111111111111
